INFO  - 2014-10-19 11:11:25.851; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.852; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2014-10-19 11:11:25.852; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2014-10-19 11:11:25.853; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2014-10-19 11:11:25.853; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.854; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.854; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.854; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2014-10-19 11:11:25.855; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2014-10-19 11:11:25.855; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2014-10-19 11:11:25.856; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/dist/solr-cell-4.10.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.857; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.857; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2014-10-19 11:11:25.858; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-10-19 11:11:25.858; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2014-10-19 11:11:25.858; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2014-10-19 11:11:25.859; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-10-19 11:11:25.859; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-10-19 11:11:25.860; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-10-19 11:11:25.861; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/dist/solr-clustering-4.10.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.861; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-10-19 11:11:25.862; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-10-19 11:11:25.863; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/dist/solr-langid-4.10.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.863; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2014-10-19 11:11:25.864; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.864; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-10-19 11:11:25.864; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-10-19 11:11:25.865; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/dist/solr-velocity-4.10.1.jar' to classloader
INFO  - 2014-10-19 11:11:28.085; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-10-19 11:11:28.090; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.1
INFO  - 2014-10-19 11:11:28.232; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-10-19 11:11:28.240; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-10-19 11:11:28.266; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-10-19 11:11:28.526; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-10-19 11:11:28.535; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2014-10-19 11:11:28.536; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2014-10-19 11:11:28.589; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-10-19 11:11:28.593; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-10-19 11:11:28.666; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\
INFO  - 2014-10-19 11:11:28.681; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-10-19 11:11:28.690; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\, dataDir=C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\data\
INFO  - 2014-10-19 11:11:28.692; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-10-19 11:11:28.695; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-10-19 11:11:28.696; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-10-19 11:11:28.748; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\data
INFO  - 2014-10-19 11:11:28.750; org.apache.solr.core.SolrCore; New index directory detected: old=null new=C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\data\index/
WARN  - 2014-10-19 11:11:28.751; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\data\index' doesn't exist. Creating new index...
INFO  - 2014-10-19 11:11:28.758; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\data\index
INFO  - 2014-10-19 11:11:28.816; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-10-19 11:11:28.816; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-10-19 11:11:28.821; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-10-19 11:11:28.821; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-10-19 11:11:28.822; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-10-19 11:11:28.824; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-10-19 11:11:28.825; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-10-19 11:11:28.883; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-10-19 11:11:28.887; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-10-19 11:11:28.887; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-10-19 11:11:28.888; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-10-19 11:11:28.888; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-10-19 11:11:28.892; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-10-19 11:11:28.892; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-10-19 11:11:28.894; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-10-19 11:11:28.895; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
